topology,beta_level,beta_a,beta_b,replication,seed,alpha,final_alignment,mean_alignment
ER,Low heterogeneity,5.0,5.0,0,1942340,0.0,0.1400673594365667,0.24080425795951074
ER,Low heterogeneity,5.0,5.0,0,1942340,0.3,0.135718863872324,0.2363932376620438
ER,Low heterogeneity,5.0,5.0,0,1942340,0.5,0.12837342332123292,0.23090396466294422
ER,Low heterogeneity,5.0,5.0,0,1942340,0.7,0.0712521928637873,0.18202593998923633
ER,Low heterogeneity,5.0,5.0,0,1942340,0.9,0.063128595731483,0.17555021016532493
ER,Low heterogeneity,5.0,5.0,0,1942340,1.0,0.06418597990321785,0.17702970378822075
ER,Low heterogeneity,5.0,5.0,1,1942341,0.0,0.06548049814711576,0.30871377567718356
ER,Low heterogeneity,5.0,5.0,1,1942341,0.3,0.05829183429983178,0.29016999364651114
ER,Low heterogeneity,5.0,5.0,1,1942341,0.5,0.05217703798381672,0.2726785572890413
ER,Low heterogeneity,5.0,5.0,1,1942341,0.7,0.044175414384040816,0.25393269758303244
ER,Low heterogeneity,5.0,5.0,1,1942341,0.9,0.03874013840221154,0.24841658770513012
ER,Low heterogeneity,5.0,5.0,1,1942341,1.0,0.038029189743304145,0.24927428470694943
ER,Low heterogeneity,5.0,5.0,2,1942342,0.0,0.2930794757460295,0.3697807784782734
ER,Low heterogeneity,5.0,5.0,2,1942342,0.3,0.2672618441219677,0.34829241268289934
ER,Low heterogeneity,5.0,5.0,2,1942342,0.5,0.27790268555311126,0.35657456944554733
ER,Low heterogeneity,5.0,5.0,2,1942342,0.7,0.18866997450015052,0.2652165169203296
ER,Low heterogeneity,5.0,5.0,2,1942342,0.9,0.15588534632666548,0.2337166479704596
ER,Low heterogeneity,5.0,5.0,2,1942342,1.0,0.1545716754434684,0.23260084861945926
ER,Low heterogeneity,5.0,5.0,3,1942343,0.0,0.26610516916175664,0.3784743019507485
ER,Low heterogeneity,5.0,5.0,3,1942343,0.3,0.2530655636372825,0.36118648030944506
ER,Low heterogeneity,5.0,5.0,3,1942343,0.5,0.26683348296766884,0.36623777655562767
ER,Low heterogeneity,5.0,5.0,3,1942343,0.7,0.27153153079754955,0.35576463931316404
ER,Low heterogeneity,5.0,5.0,3,1942343,0.9,0.2627926467093665,0.34363569347163503
ER,Low heterogeneity,5.0,5.0,3,1942343,1.0,0.25993258637031713,0.3403890207875257
ER,Low heterogeneity,5.0,5.0,4,1942344,0.0,0.3973397620766004,0.5007023202616218
ER,Low heterogeneity,5.0,5.0,4,1942344,0.3,0.3410564970332851,0.4505752167985599
ER,Low heterogeneity,5.0,5.0,4,1942344,0.5,0.2711319922835887,0.37566700342666404
ER,Low heterogeneity,5.0,5.0,4,1942344,0.7,0.13710300416454743,0.26207557430124373
ER,Low heterogeneity,5.0,5.0,4,1942344,0.9,0.07455727351474543,0.2089727724943026
ER,Low heterogeneity,5.0,5.0,4,1942344,1.0,0.061495094794485526,0.19881254200064158
ER,Low heterogeneity,5.0,5.0,5,1942345,0.0,0.1682071246233979,0.4446721251299151
ER,Low heterogeneity,5.0,5.0,5,1942345,0.3,0.15595546977507507,0.44185594692271823
ER,Low heterogeneity,5.0,5.0,5,1942345,0.5,0.10215988074664811,0.4240673446891285
ER,Low heterogeneity,5.0,5.0,5,1942345,0.7,0.0424791380956274,0.3805854032263121
ER,Low heterogeneity,5.0,5.0,5,1942345,0.9,0.02107521369410541,0.3668947009900765
ER,Low heterogeneity,5.0,5.0,5,1942345,1.0,0.017560446527872163,0.3639451571127771
ER,Low heterogeneity,5.0,5.0,6,1942346,0.0,0.38872617064884957,0.4657286216904469
ER,Low heterogeneity,5.0,5.0,6,1942346,0.3,0.3311393322434521,0.4135500610413665
ER,Low heterogeneity,5.0,5.0,6,1942346,0.5,0.25241233639943206,0.3450221168402802
