topology,alpha,n,mean_final_alignment,std_final_alignment,ci95_final_alignment
BA,0.0,3,0.47254485481539693,0.2922787776526225,0.3307445726740665
BA,0.5,3,0.16822976613631355,0.06833667884112181,0.0773302318519155
BA,1.0,3,0.1364643562515233,0.06732884324736224,0.07618975851525779
ER,0.0,3,0.45181369189724235,0.22353376255038146,0.25295226484360794
ER,0.5,3,0.16215613126722456,0.05898952225515212,0.06675292844462381
ER,1.0,3,0.13771786853227252,0.0846460298243465,0.09578599988564232
RR,0.0,3,0.5356325787735198,0.30590180639576287,0.3461604809256455
RR,0.5,3,0.17097959341096988,0.044690994187032915,0.05057262074750149
RR,1.0,3,0.14754824034247366,0.06873856102646152,0.07778500435617675
WS,0.0,3,0.5140397839894956,0.271657075378529,0.307408919770238
WS,0.5,3,0.1748596021452596,0.0474257360908042,0.053667272537142235
WS,1.0,3,0.14124296244181303,0.047631041501257194,0.05389959747976483
