topology,replication,seed,alpha,final_alignment,mean_alignment
ER,0,1942340,0.0,0.5763625453226058,0.5994814983336679
ER,0,1942340,1.0,0.17098633023332283,0.2641152139257001
ER,1,1942341,0.0,0.3080675670617269,0.635831645272158
ER,1,1942341,1.0,0.19291874326421915,0.50848113671338
WS,0,1942340,0.0,0.908851625167044,0.8796371791650929
WS,0,1942340,1.0,0.23796408908763533,0.36780371394270706
WS,1,1942341,0.0,0.3113741447566751,0.6111655815341773
WS,1,1942341,1.0,0.1434404862326334,0.50802010134383
BA,0,1942340,0.0,0.832475040600384,0.8658418996617993
BA,0,1942340,1.0,0.1966083474029648,0.39020332789687684
BA,1,1942341,0.0,0.22737148938178336,0.500660755292244
BA,1,1942341,1.0,0.1449733950827385,0.4030705018351526
RR,0,1942340,0.0,0.7045083120848579,0.8170747603465837
RR,0,1942340,1.0,0.23997058740536814,0.4105057695546366
RR,1,1942341,0.0,0.23181646042810775,0.5479687532895559
RR,1,1942341,1.0,0.1627775189482326,0.46998870493237016
