topology,replication,seed,alpha,final_alignment,mean_alignment
ER,0,1942340,0.3,0.18018107010064557,0.2689272092924472
ER,0,1942340,0.5,0.08863995374473035,0.19546833586036388
ER,0,1942340,0.7,0.054516409303717615,0.1719448550803535
ER,0,1942340,0.9,0.04336311062314711,0.16318582957361868
ER,1,1942341,0.3,0.03918599235638333,0.2728081690774446
ER,1,1942341,0.5,0.03792199391744798,0.25187551571002054
ER,1,1942341,0.7,0.032811551444856,0.24221960888142577
ER,1,1942341,0.9,0.02874416627100607,0.23491772002682662
ER,2,1942342,0.3,0.2548644648757331,0.3482000848017541
ER,2,1942342,0.5,0.17092859230503607,0.2721093192796176
ER,2,1942342,0.7,0.09199328004555846,0.19406252008349012
ER,2,1942342,0.9,0.04456713463511792,0.150968817990421
ER,3,1942343,0.3,0.30704586930319216,0.4008907017999596
ER,3,1942343,0.5,0.330795610933983,0.40895499820961895
ER,3,1942343,0.7,0.35719452586421097,0.4289704927224377
ER,3,1942343,0.9,0.36406982209795047,0.43338932293657645
ER,4,1942344,0.3,0.4088823351002967,0.5068709592239329
ER,4,1942344,0.5,0.278722533743515,0.40127140822827023
ER,4,1942344,0.7,0.13452273429051875,0.2666748955454913
ER,4,1942344,0.9,0.10700855373178776,0.24382859738558776
ER,5,1942345,0.3,0.1808669608964734,0.4793509837458988
ER,5,1942345,0.5,0.0967394640154893,0.42224178179726013
ER,5,1942345,0.7,0.04790440172815593,0.3963610403038798
ER,5,1942345,0.9,0.01524772671951143,0.3762616479153748
ER,6,1942346,0.3,0.2934839764600955,0.3721827967721658
ER,6,1942346,0.5,0.20096254552292023,0.2930571322555421
ER,6,1942346,0.7,0.08658481759341832,0.20426413799257986
ER,6,1942346,0.9,0.05533486864679556,0.17796253920776084
ER,7,1942347,0.3,0.39598568739120954,0.48022981790230307
ER,7,1942347,0.5,0.2954927519403643,0.40411706564077127
ER,7,1942347,0.7,0.20618918115447188,0.3372355355074006
ER,7,1942347,0.9,0.17983605282314918,0.31754618938229306
ER,8,1942348,0.3,0.5839139459675302,0.6856804672789559
ER,8,1942348,0.5,0.5383951325234764,0.6501686874817847
ER,8,1942348,0.7,0.2214080583775843,0.35047363505868545
ER,8,1942348,0.9,0.18903606075025361,0.3209047150356821
ER,9,1942349,0.3,0.45713239165108066,0.47592279408453614
ER,9,1942349,0.5,0.40568234944347004,0.41587268446737724
ER,9,1942349,0.7,0.17631612287169765,0.24646921021195542
ER,9,1942349,0.9,0.1323085480092269,0.2211536244611232
ER,10,1942350,0.3,0.3307310881192721,0.45895110245866505
ER,10,1942350,0.5,0.250027885492277,0.38283361450916364
ER,10,1942350,0.7,0.21728966484266027,0.35866709150019815
ER,10,1942350,0.9,0.2084134772973858,0.3440829661230974
ER,11,1942351,0.3,0.17280521689643358,0.25977207359340415
ER,11,1942351,0.5,0.1324097008849919,0.22139246200996426
ER,11,1942351,0.7,0.06996012808452791,0.15634945541741235
ER,11,1942351,0.9,0.03948901610384865,0.12132465897784073
ER,12,1942352,0.3,0.11837339844591618,0.339803670381406
ER,12,1942352,0.5,0.08433532621005961,0.3110669015209003
ER,12,1942352,0.7,0.040552165931510446,0.27382677791412097
ER,12,1942352,0.9,0.010827963243753012,0.2538444776287354
